Administration,Avis,Adresses,Dates,Régions,Latitudes,Longitudes,Labels
Commissariat de Police de Lyon 1er et 4ème arrondissements,Un énorme merci de m’avoir accueilli dans la nuit du 16 au 17 September 2022. Les forces de police sont actuellement décriés. J’ai pu constaté que l’humaine reste la priorité pour les agents des forces de police. Encore un merci chaleureux de jeune fille en détresse de Chambéry.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 8 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Je n’ai jamais vu de telle condescendance de la part des forces de l’ordre. Je comprends mieux la colère voire la haine que beaucoup portent à leur égard maintenant.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 4 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Équipes efficaces, investies, à l’écoute et qui suivent les dossiers. Ça fait du bien quand on est victime.
Je comprends que les personnes de l’autre côté de la barrière n’apprécient pas !","19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Alors je sais pas par où commencer... Vraiment très original comme concept !
Déjà, on vous escorte jusqu'à votre chambre. Mais avant de vous laisser vous reposer, vous aurez droit à un petit quizz surprise. Mais ATTENTION ! Il peut y …","19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Refus de plainte un dimanche, après vérification auprès d'un agent de fonction dans mon entourage c'est parfaitement illégal, je n'ai pas été la seule à être refoulée soit disant tous les commissariats pratiquement ne prennent de plaintes …","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Je voulais mettre 0 mais on peut pas !

Aucune réponse par téléphone depuis deux semaines ! …","19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"J'y ai fait 3 garde à vue, les cellules sont nauséabondes. Même le dek qui m'a fouillé après 4 jours de GAV était obligé de se boucher le nez. Mais que fait la police? Sinon la bouffe est la même que dans les autres comico: un sablé le matin et deux petits potions les soirs et midi. Je ne recommande pas.","19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Alors contrôle abusif , ils parlent aux gens comme des chiens je ne comprend comment c’est possible d’être inhumain à ce point surtout un avec le nez pointu c’est compréhensible que certaines personnes déteste la police vu votre …","19 Pl. Louis Pradel, 69001 Lyon",il y a 7 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Ma fille est venue pour une procuration, elle a été tres mal accueillie par les’policiers, ils ont refusé de lui donner un formulaire papier arguant qu’elle devait faire la démarche sur internet. Elle a dû repartir sans pouvoir faire de procuration, à Lyon la police vous empêche de voter, sympa !","19 Pl. Louis Pradel, 69001 Lyon",il y a 11 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Incohérences total entre chaque policiers. La loi c'est la loi elle ce discute pas en fonction de la tête de la personne. …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Pour une nuit passé avec mon meilleur ami, nous nous attendions à mieux. La chambre est sale, les murs sont couver de gravure en tout genre. Le repas du midi laisse un peu à désiré, pate a la crème réchauffer, bien que nos hôtes ont été …","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Neutre
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Plus d’une heure d’attente pour poser une plainte. Je suis finalement reçu par un policier, qui était plus préoccupé à commander sa PS5 sur le site de Leclerc, malheureusement pour lui il n’était pas si discret que ça. Conclusion, 1h …","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Les mêmes qui sont chargés de faire respecter les lois sont les premiers à encombrer les trottoirs devant le commissariat avec leurs véhicules, cherchez  l'erreur 🤯 …","19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Refus de plainte, ils ne sont pas à l'écoute et font culpabiliser la victime, c'est scandaleux. Ne prennent même pas la peine de comprendre le problème. Quand on rappelle pour expliquer notre mécontentement ils nous raccroche au nez en …","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Un commissariat où on ne peut pas déposer de plainte. Incompréhensible.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 5 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Incompétent, n’ont jamais les mêmes réponses entre collègues","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Les avis ont dirai Trivago on choisit pas son commissariat les gars c'est peut être écrit hôtel de police mais c'est une cellule vous êtes cru au Yémen pour choisir ta GAV,"19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Depuis la vidéo verbalisation il distribue les amandes à la chaîne ils sont tranquillement au chaud dans leur bureau j'ai reçu une amende de non-respect de priorité au piéton alors que le piéton ne traverse pas une amende deux sens interdit …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Les deux agents de police qui nous ont reçu pour la procuration de vote ont été des plus agréables, de bonne humeur, souriants et rigolos !","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Je déconseille pour les plaintes vaut mieux aller au grand tribunal d'istances à Lyon 3,
Pas sur qu'ils vont les enregistré même les fautes graves.
Pour information ou orientation c'est l'idéal","19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Arrivés à 16h17 pour un dépôt de plainte, on nous a dit ""non désolé ce n'est pas possible on ferme à 18h""
Voilà","19 Pl. Louis Pradel, 69001 Lyon",il y a 11 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Appeler 6, 8 fois pour un tapage nocturne et ne pas avoir de réponses alors que le poste de police dispo 24h/24 c'est aberrant! Franchement on ne peut pas compter sur vous!","19 Pl. Louis Pradel, 69001 Lyon",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"1 étoile c'est beaucoup trop pour eux malheureusement.

Aucun respect mais rien de bien surprenant venant d'une personne ne sachant pas aligner deux mots correctement.","19 Pl. Louis Pradel, 69001 Lyon",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Inaccessible aux personnes en fauteuim roulant. Ce n'est pas le seul commissariat dans ce cas. C'est scandaleux.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Employés polyvalents et la l’écoute, les chambres sont spacieuses, literie palace ( le rêve )
Un petit déjeuner à tomber par terre
Je recommande.","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Des fainéant total dans ce commissariat en tout cas.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 9 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Aucune cohérence,"19 Pl. Louis Pradel, 69001 Lyon",il y a 2 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Très professionnels et à l'écoute lors de mon dépôt de plainte. Prise en charge immédiate.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Un Comissariat qui a toujours répondu à mes attentes,"19 Pl. Louis Pradel, 69001 Lyon",il y a 9 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Un super accueil, très professionnel et bienveillant!","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Merci de ne pas être intervenu en bas de chez moi grâce à vous je n'ai pas dormi de la nuit,"19 Pl. Louis Pradel, 69001 Lyon",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Garde à vue nickel, j’ai trop kiffé... merci 🥰🥰🥰 …","19 Pl. Louis Pradel, 69001 Lyon",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,J'espère que j'y serait bien reçu...,"19 Pl. Louis Pradel, 69001 Lyon",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Rien a dire.
J'ai été super bien accompagnée pour mon dépôt de plainte. Des personnes a l'écoute qui ont à coeur de faire leur travail même pour un acte ""moins intéressant"" …","19 Pl. Louis Pradel, 69001 Lyon",il y a 1e semaine, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Temps d'attente trop long a mon gout. Je suis rentre un mardi et n'ai pu ressortir que le jeudi.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 2 semaines, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,Ouvert 24h/24,"19 Pl. Louis Pradel, 69001 Lyon",il y a 1 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Pour signaler le cas, il y a plusieurs po …","19 Pl. Louis Pradel, 69001 Lyon",il y a 2 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"I tried to put the claim and they’re so rude, and they did not even respond to see that it’s their duty to do you reports for any tourist to lost an item there the baddest experience I will ever seen my life","19 Pl. Louis Pradel, 69001 Lyon",il y a 2 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police de Lyon 1er et 4ème arrondissements,"J'ai dû attendre 2 heures pour passer une annonce car peu de gens travaillaient. La policière m'a alors crié quand je n'ai pas compris quelque chose. Très peu professionnel... Mais la secrétaire était super gentille et compétente, donc plus qu'une étoile :)","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police de Lyon 1er et 4ème arrondissements,invitéap …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 1 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police Nationale,"Une catastrophe. Lors d'un accident la police nous redirige vers une route impraticable en caravane, impossible de faire demi tour. L'horreur !. On les appelle pour nous aider et voici leur réponse : ""je sais faites au mieux"". Du coup ce sont les habitants du coin qui aident avec la gendarmerie ! Je suis écœurée","6 Rue Léon Rouveyrol, 07200 Aubenas",il y a 9 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,"Cellule agréable avec vu sur un petit jardinet. L'odeur d'urine ne m'a pas déranger plus que ça et on y mange aussi bien qu'à flunch.

Je recommande pour tout ceux qui n'ont pas envie de passer la nuit dehors.","6 Rue Léon Rouveyrol, 07200 Aubenas",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
Commissariat de Police Nationale,"Parfaitement incompétents, parfaitement désagréables, qui perdent des dossiers et se permettent de petites remarques plus qu'inappropriées entre sarcasme et sexisme. Quand, en plus, c'est incapable de prendre un dépôt de plainte sans le …","6 Rue Léon Rouveyrol, 07200 Aubenas",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Négatif
Commissariat de Police Nationale,commissariat sympa je n'est jamais testé de cellule en revanche l'opj qui est une femme est très gentille et professionnelle,"6 Rue Léon Rouveyrol, 07200 Aubenas",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,Positif
