Administration,Avis,Adresses,Dates,Régions,Latitudes,Longitudes,Processing,Labels,Topics
Commissariat de Police Nationale,"Plusieurs visites en tant que victime sur l'année 2021.
Beaucoup de bonne volonté, mais très peu de moyens et donc les conséquences s'en ressentent. Personnel au bout du rouleau.","Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['plusieurs', 'visites', 'tant', 'victime', 'année', 'beaucoup', 'bonne', 'volonté', 'très', 'peu', 'moyens', 'donc', 'conséquences', 'ressentent', 'personnel', 'bout', 'rouleau']",Négatif,plusieurs visites tant victime
Commissariat de Police Nationale,tel pour nuisances sonores et bien l'agent que j'ai eu au téléphone absolument pas respectueux limite insultant si vous avez besoin de rien appelez les ils seront ravis,"Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 11 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['tel', 'nuisances', 'sonores', 'agent', 'téléphone', 'absolument', 'respectueux', 'limite', 'insultant', 'si', 'besoin', 'rien', 'appelez', 'ravis']",Négatif,tel nuisances sonores agent
Commissariat de Police Nationale,"voila je voudrais savoir pourquoi a plusieures reprises apres des appels qui vou sdisent que vous allez etre mis en relation,apres cela sonne normalement et cela fini par couper;cela devient vraiment chiant …","Quai Sainte-Claire, 26100 Romans-sur-Isère",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['voila', 'voudrais', 'savoir', 'pourquoi', 'plusieures', 'reprises', 'apres', 'appels', 'vou', 'sdisent', 'allez', 'etre', 'mis', 'relation', 'apres', 'cela', 'sonne', 'normalement', 'cela', 'fini', 'couper', 'cela', 'devient', 'vraiment', 'chiant']",Négatif,cela apres voila voudrais
Commissariat de Police Nationale,"Passez un séjour et je peut vous dire que l'on y dort mal , matelas peut confortable, toilette dans la même pièce, les policiers vous calcule pas même ! Et le petit dej laisse à désiré, je ne recommande pas du tout","2 Cr Vincent d'Indy, 03000 Moulins",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['passez', 'séjour', 'peut', 'dire', 'dort', 'mal', 'matelas', 'peut', 'confortable', 'toilette', 'pièce', 'policiers', 'calcule', 'petit', 'dej', 'laisse', 'désiré', 'recommande']",Négatif,peut passez séjour dire
Commissariat de Police Nationale,Dommage qu’on ne peut pas mettre 0 étoile !,"2 Cr Vincent d'Indy, 03000 Moulins",il y a 8 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['dommage', 'peut', 'mettre', 'étoile']",Négatif,dommage peut mettre étoile
Commissariat de Police Nationale,Des policiers agressif ils nous crie dessus ils faut pas les déranger sinon l'accueil est épouvantable notre police est loin de la police d autres fois,"2 Cr Vincent d'Indy, 03000 Moulins",il y a 11 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['policiers', 'agressif', 'crie', 'dessus', 'faut', 'déranger', 'sinon', 'accueil', 'épouvantable', 'police', 'loin', 'police', 'autres', 'fois']",Négatif,police policiers agressif crie
Commissariat de Police Nationale,"Vous n'êtes que des branles-manettes à rester assis derrière votre bureau. Quand il s'agit d'écouter les gens,  il n'y a plus personne.","2 Cr Vincent d'Indy, 03000 Moulins",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['branles', 'manettes', 'rester', 'assis', 'derrière', 'bureau', 'quand', 'agit', 'écouter', 'gens', 'plus', 'personne']",Négatif,branles manettes rester assis
Commissariat de Police Nationale,Pas très compétant...,"2 Cr Vincent d'Indy, 03000 Moulins",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['très', 'compétant']",Négatif,très compétant
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Refus de prendre une plainte - Au téléphone ce matin avec la personne la plus incompétente et bornée qu'il m'ait été donné d'avoir au téléphone.
Je suis pas juriste, mais je sais quand même que tu peux porter plainte pour une autre raison que se faire percuter par une voiture. Le policier me soutient au téléphone que même en cas d'agression, il n'est pas à même de prendre une plainte. Formez davantage votre personnel, et apprenez leur à être aimable au téléphone.","19 Pl. Louis Pradel, 69001 Lyon",il y a 3 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['refus', 'prendre', 'plainte', 'téléphone', 'matin', 'personne', 'plus', 'incompétente', 'bornée', 'donné', 'avoir', 'téléphone', 'juriste', 'sais', 'quand', 'peux', 'porter', 'plainte', 'autre', 'raison', 'faire', 'percuter', 'voiture', 'policier', 'soutient', 'téléphone', 'cas', 'agression', 'prendre', 'plainte', 'formez', 'davantage', 'personnel', 'apprenez', 'être', 'aimable', 'téléphone']",Négatif,téléphone plainte prendre refus
Commissariat de Police de Lyon 1er et 4ème arrondissements,Après 2h d'attente pour ajouter un complément de plainte pour un petit papier que le site du gouvernement m'avait demandé. Les policiers avaient déjà classé la plainte sachant qu'ils n'ont jamais réglé le problème et ils m'ont dit qu'ils …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 5 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['après', 'attente', 'ajouter', 'complément', 'plainte', 'petit', 'papier', 'site', 'gouvernement', 'demandé', 'policiers', 'déjà', 'classé', 'plainte', 'sachant', 'jamais', 'réglé', 'problème', 'dit']",Négatif,plainte après attente ajouter
Commissariat de Police de Lyon 1er et 4ème arrondissements,Je voulais déclarer un vol de ma CNI je suis tombé sur un officier (petit de taille 1m60 environ) qui me parlait très mal et j’ai vite compris son jeu de provocation à l’hautrage. …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 1 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['voulais', 'déclarer', 'vol', 'cni', 'tombé', 'officier', 'petit', 'taille', 'environ', 'parlait', 'très', 'mal', 'vite', 'compris', 'jeu', 'provocation', 'hautrage']",Négatif,voulais déclarer vol cni
Commissariat de Police de Lyon 1er et 4ème arrondissements,"NE VENAIS PAS ICI POUR DÉPOSER PLAINTE.
15 minutes pour joindre le commissariat, on décide de s’y rendre.. afin de déposer une plainte (en tant que victime), devant nous une dame venait déposer une …","19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['venais', 'ici', 'déposer', 'plainte', 'minutes', 'joindre', 'commissariat', 'décide', 'rendre', 'afin', 'déposer', 'plainte', 'tant', 'victime', 'devant', 'dame', 'venait', 'déposer']",Négatif,déposer plainte venais ici
Commissariat de Police de Lyon 1er et 4ème arrondissements,La garde à vue pue de fou le deck se moquent de nous a croire que on est leurs chien l’expérience date de 1ans pour conduire sans permis bah franchement pas à revivre,"19 Pl. Louis Pradel, 69001 Lyon",il y a 2 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['garde', 'vue', 'pue', 'fou', 'deck', 'moquent', 'croire', 'leurs', 'chien', 'expérience', 'date', 'ans', 'conduire', 'sans', 'permis', 'bah', 'franchement', 'revivre']",Négatif,garde vue pue fou
Commissariat de Police de Lyon 1er et 4ème arrondissements,2 fois que je les appelle pour leur signaler qu'il y a régulièrement des dealers qui se postent autour de la place Puvis de Chavannes... Personne ne de déplace... Pire on ne me prend pas au sérieux et on me demande sur quels critères je peux insinuer cela.... N'importe quoi !,"19 Pl. Louis Pradel, 69001 Lyon",il y a 4 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['fois', 'appelle', 'signaler', 'régulièrement', 'dealers', 'postent', 'autour', 'place', 'puvis', 'chavannes', 'personne', 'déplace', 'pire', 'prend', 'sérieux', 'demande', 'quels', 'critères', 'peux', 'insinuer', 'cela', 'importe', 'quoi']",Négatif,fois appelle signaler régulièrement
Commissariat de Police de Lyon 1er et 4ème arrondissements,Commissariat qui refuse de prendre une plainte pour agression car « ce n’était que verbal vous savez les hommes de nos jours disent ça pour s’amuser sans vraiment le penser » (pas mot pour mot mais ils l’ont explicitement dit) …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 5 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['commissariat', 'refuse', 'prendre', 'plainte', 'agression', 'car', 'verbal', 'savez', 'hommes', 'jours', 'disent', 'ça', 'amuser', 'sans', 'vraiment', 'penser', 'mot', 'mot', 'explicitement', 'dit']",Négatif,mot commissariat refuse prendre
Commissariat de Police de Lyon 1er et 4ème arrondissements,Je me suis fais voler le compteur de ma moto angle rue grenette et quai St Antoine le 11 novembre je n’aurais jamais pensé que la police allait être aussi réactive du coup il connaissait les voleurs ils ont pu me récupérer mon compteur en …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['fais', 'voler', 'compteur', 'moto', 'angle', 'rue', 'grenette', 'quai', 'st', 'antoine', 'novembre', 'jamais', 'pensé', 'police', 'allait', 'être', 'aussi', 'réactive', 'coup', 'connaissait', 'voleurs', 'pu', 'récupérer', 'compteur']",Négatif,compteur fais voler moto
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Je viens le mardi pour retirer une plainte pour vol de téléphone, j'arrive à midi, on me dit qu'il n'y a personne car tout le monde est parti manger (ils pourraient peut-etre manger chacun leur tour?). Je reviens le lendemain, une stagière …","19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['viens', 'mardi', 'retirer', 'plainte', 'vol', 'téléphone', 'arrive', 'midi', 'dit', 'personne', 'car', 'monde', 'parti', 'manger', 'pourraient', 'peut', 'etre', 'manger', 'chacun', 'tour', 'reviens', 'lendemain', 'stagière']",Négatif,manger viens mardi retirer
Commissariat de Police de Lyon 1er et 4ème arrondissements,Garde à vue propre ils m’ont pas laisser faire uriner pendant plus de 12heures policier pas agréable et ce moque de nous c’est pas sérieux de se moque de nous en nous faisant croire certaines choses,"19 Pl. Louis Pradel, 69001 Lyon",il y a 3 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['garde', 'vue', 'propre', 'laisser', 'faire', 'uriner', 'pendant', 'plus', 'heures', 'policier', 'agréable', 'moque', 'sérieux', 'moque', 'faisant', 'croire', 'certaines', 'choses']",Négatif,moque garde vue propre
Commissariat de Police de Lyon 1er et 4ème arrondissements,Plus de 15 appel pour avoir au final un incompétent au téléphone qui ne sait rien. Super vous recrutez que des stagiaires après vous êtes étonné de la qualité du taff.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 5 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['plus', 'appel', 'avoir', 'final', 'incompétent', 'téléphone', 'sait', 'rien', 'super', 'recrutez', 'stagiaires', 'après', 'étonné', 'qualité', 'taff']",Négatif,plus appel avoir final
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Venu pour déposer plainte en tant que victime on me parle violemment et on me dit de partir car le service ferme dans 50mn...hallucinant !
Se faire recevoir et parler comme ça en ayant été poli (et victime). Indigne d'un service public, de service il n'y a que le nom.","19 Pl. Louis Pradel, 69001 Lyon",il y a 7 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['venu', 'déposer', 'plainte', 'tant', 'victime', 'parle', 'violemment', 'dit', 'partir', 'car', 'service', 'ferme', 'mn', 'hallucinant', 'faire', 'recevoir', 'parler', 'comme', 'ça', 'poli', 'victime', 'indigne', 'service', 'public', 'service', 'nom']",Négatif,service victime venu déposer
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Refus de plainte un dimanche, après vérification auprès d'un agent de fonction dans mon entourage c'est parfaitement illégal, je n'ai pas été la seule à être refoulée soit disant tous les commissariats pratiquement ne prennent de plaintes …","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['refus', 'plainte', 'dimanche', 'après', 'vérification', 'auprès', 'agent', 'fonction', 'entourage', 'parfaitement', 'illégal', 'seule', 'être', 'refoulée', 'disant', 'tous', 'commissariats', 'pratiquement', 'prennent', 'plaintes']",Négatif,plainte refus dimanche après
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Je voulais mettre 0 mais on peut pas !

Aucune réponse par téléphone depuis deux semaines ! …","19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['voulais', 'mettre', 'peut', 'aucune', 'réponse', 'téléphone', 'depuis', 'deux', 'semaines']",Négatif,voulais mettre peut aucune
Commissariat de Police de Lyon 1er et 4ème arrondissements,"J'y ai fait 3 garde à vue, les cellules sont nauséabondes. Même le dek qui m'a fouillé après 4 jours de GAV était obligé de se boucher le nez. Mais que fait la police? Sinon la bouffe est la même que dans les autres comico: un sablé le matin et deux petits potions les soirs et midi. Je ne recommande pas.","19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['fait', 'garde', 'vue', 'cellules', 'nauséabondes', 'dek', 'fouillé', 'après', 'jours', 'gav', 'obligé', 'boucher', 'nez', 'fait', 'police', 'sinon', 'bouffe', 'autres', 'comico', 'sablé', 'matin', 'deux', 'petits', 'potions', 'soirs', 'midi', 'recommande']",Négatif,fait garde vue cellules
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Alors contrôle abusif , ils parlent aux gens comme des chiens je ne comprend comment c’est possible d’être inhumain à ce point surtout un avec le nez pointu c’est compréhensible que certaines personnes déteste la police vu votre …","19 Pl. Louis Pradel, 69001 Lyon",il y a 7 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['alors', 'contrôle', 'abusif', 'parlent', 'gens', 'comme', 'chiens', 'comprend', 'comment', 'possible', 'être', 'inhumain', 'point', 'surtout', 'nez', 'pointu', 'compréhensible', 'certaines', 'personnes', 'déteste', 'police', 'vu']",Négatif,alors contrôle abusif parlent
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Ma fille est venue pour une procuration, elle a été tres mal accueillie par les’policiers, ils ont refusé de lui donner un formulaire papier arguant qu’elle devait faire la démarche sur internet. Elle a dû repartir sans pouvoir faire de procuration, à Lyon la police vous empêche de voter, sympa !","19 Pl. Louis Pradel, 69001 Lyon",il y a 11 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['fille', 'venue', 'procuration', 'tres', 'mal', 'accueillie', 'policiers', 'refusé', 'donner', 'formulaire', 'papier', 'arguant', 'devait', 'faire', 'démarche', 'internet', 'dû', 'repartir', 'sans', 'pouvoir', 'faire', 'procuration', 'lyon', 'police', 'empêche', 'voter', 'sympa']",Négatif,procuration faire fille venue
Commissariat de Police de Lyon 1er et 4ème arrondissements,Incohérences total entre chaque policiers. La loi c'est la loi elle ce discute pas en fonction de la tête de la personne. …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['incohérences', 'total', 'entre', 'chaque', 'policiers', 'loi', 'loi', 'discute', 'fonction', 'tête', 'personne']",Négatif,loi incohérences total entre
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Plus d’une heure d’attente pour poser une plainte. Je suis finalement reçu par un policier, qui était plus préoccupé à commander sa PS5 sur le site de Leclerc, malheureusement pour lui il n’était pas si discret que ça. Conclusion, 1h …","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['plus', 'heure', 'attente', 'poser', 'plainte', 'finalement', 'reçu', 'policier', 'plus', 'préoccupé', 'commander', 'ps', 'site', 'leclerc', 'malheureusement', 'si', 'discret', 'ça', 'conclusion']",Négatif,plus heure attente poser
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Les mêmes qui sont chargés de faire respecter les lois sont les premiers à encombrer les trottoirs devant le commissariat avec leurs véhicules, cherchez  l'erreur 🤯 …","19 Pl. Louis Pradel, 69001 Lyon",il y a 6 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['mêmes', 'chargés', 'faire', 'respecter', 'lois', 'premiers', 'encombrer', 'trottoirs', 'devant', 'commissariat', 'leurs', 'véhicules', 'cherchez', 'erreur']",Négatif,mêmes chargés faire respecter
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Refus de plainte, ils ne sont pas à l'écoute et font culpabiliser la victime, c'est scandaleux. Ne prennent même pas la peine de comprendre le problème. Quand on rappelle pour expliquer notre mécontentement ils nous raccroche au nez en …","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['refus', 'plainte', 'écoute', 'font', 'culpabiliser', 'victime', 'scandaleux', 'prennent', 'peine', 'comprendre', 'problème', 'quand', 'rappelle', 'expliquer', 'mécontentement', 'raccroche', 'nez']",Négatif,refus plainte écoute font
Commissariat de Police de Lyon 1er et 4ème arrondissements,Un commissariat où on ne peut pas déposer de plainte. Incompréhensible.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 5 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['commissariat', 'où', 'peut', 'déposer', 'plainte', 'incompréhensible']",Négatif,commissariat où peut déposer
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Incompétent, n’ont jamais les mêmes réponses entre collègues","19 Pl. Louis Pradel, 69001 Lyon",il y a 1 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['incompétent', 'jamais', 'mêmes', 'réponses', 'entre', 'collègues']",Négatif,incompétent jamais mêmes réponses
Commissariat de Police de Lyon 1er et 4ème arrondissements,Les avis ont dirai Trivago on choisit pas son commissariat les gars c'est peut être écrit hôtel de police mais c'est une cellule vous êtes cru au Yémen pour choisir ta GAV,"19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['avis', 'dirai', 'trivago', 'choisit', 'commissariat', 'gars', 'peut', 'être', 'écrit', 'hôtel', 'police', 'cellule', 'cru', 'yémen', 'choisir', 'gav']",Négatif,avis dirai trivago choisit
Commissariat de Police de Lyon 1er et 4ème arrondissements,Depuis la vidéo verbalisation il distribue les amandes à la chaîne ils sont tranquillement au chaud dans leur bureau j'ai reçu une amende de non-respect de priorité au piéton alors que le piéton ne traverse pas une amende deux sens interdit …,"19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['depuis', 'vidéo', 'verbalisation', 'distribue', 'amandes', 'chaîne', 'tranquillement', 'chaud', 'bureau', 'reçu', 'amende', 'non', 'respect', 'priorité', 'piéton', 'alors', 'piéton', 'traverse', 'amende', 'deux', 'sens', 'interdit']",Négatif,amende piéton depuis vidéo
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Je déconseille pour les plaintes vaut mieux aller au grand tribunal d'istances à Lyon 3,
Pas sur qu'ils vont les enregistré même les fautes graves.
Pour information ou orientation c'est l'idéal","19 Pl. Louis Pradel, 69001 Lyon",il y a 10 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['déconseille', 'plaintes', 'vaut', 'mieux', 'aller', 'grand', 'tribunal', 'istances', 'lyon', 'vont', 'enregistré', 'fautes', 'graves', 'information', 'orientation', 'idéal']",Négatif,déconseille plaintes vaut mieux
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Arrivés à 16h17 pour un dépôt de plainte, on nous a dit ""non désolé ce n'est pas possible on ferme à 18h""
Voilà","19 Pl. Louis Pradel, 69001 Lyon",il y a 11 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['arrivés', 'dépôt', 'plainte', 'dit', 'non', 'désolé', 'possible', 'ferme', 'voilà']",Négatif,arrivés dépôt plainte dit
Commissariat de Police de Lyon 1er et 4ème arrondissements,"Appeler 6, 8 fois pour un tapage nocturne et ne pas avoir de réponses alors que le poste de police dispo 24h/24 c'est aberrant! Franchement on ne peut pas compter sur vous!","19 Pl. Louis Pradel, 69001 Lyon",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['appeler', 'fois', 'tapage', 'nocturne', 'avoir', 'réponses', 'alors', 'poste', 'police', 'dispo', 'aberrant', 'franchement', 'peut', 'compter']",Négatif,appeler fois tapage nocturne
Commissariat de Police de Lyon 1er et 4ème arrondissements,"1 étoile c'est beaucoup trop pour eux malheureusement.

Aucun respect mais rien de bien surprenant venant d'une personne ne sachant pas aligner deux mots correctement.","19 Pl. Louis Pradel, 69001 Lyon",il y a 2 ans, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['étoile', 'beaucoup', 'trop', 'malheureusement', 'aucun', 'respect', 'rien', 'surprenant', 'venant', 'personne', 'sachant', 'aligner', 'deux', 'mots', 'correctement']",Négatif,étoile beaucoup trop malheureusement
Commissariat de Police de Lyon 1er et 4ème arrondissements,Inaccessible aux personnes en fauteuim roulant. Ce n'est pas le seul commissariat dans ce cas. C'est scandaleux.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 1 an, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['inaccessible', 'personnes', 'fauteuim', 'roulant', 'seul', 'commissariat', 'cas', 'scandaleux']",Négatif,inaccessible personnes fauteuim roulant
Commissariat de Police de Lyon 1er et 4ème arrondissements,Des fainéant total dans ce commissariat en tout cas.,"19 Pl. Louis Pradel, 69001 Lyon",il y a 9 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['fainéant', 'total', 'commissariat', 'cas']",Négatif,fainéant total commissariat cas
Commissariat de Police de Lyon 1er et 4ème arrondissements,Aucune cohérence,"19 Pl. Louis Pradel, 69001 Lyon",il y a 2 mois, Auvergne-Rhône-Alpes,45.2968119,4.6604809,"['aucune', 'cohérence']",Négatif,aucune cohérence
